teks_tweet,lokasi,created_at,username,lang
Implementasi Program Makan Bergizi Gratis (MBG) di daerah tertinggal merupakan bagian dari upaya meningkatkan kualitas gizi peserta didik agar dapat belajar dengan lebih optimal. https://t.co/Hq9Ajh0ooU,,2026-05-13T05:14:47.000Z,kemendespdt,in
2. Program tersebut digelar melalui penyediaan Makan Bergizi Gratis (MBG) dan pembentukan Satuan Pelayanan Pemenuhan Gizi (SPPG) Kemala Bhayangkari dan Program Makanan Tambahan bagi anak-anak yang terindikasi stunting. #DukungProgramPemerintah Pilar Kemajuan Indonesia https://t.co/xF1Ql5OFGM,,2026-05-13T04:03:36.000Z,Sudastika,in
"Lebih dari 200 Anak di Surabaya Keracunan MBG, Total Korban Secara Nasional sudah Capai Ribuan
 
Kabar mengkhawatirkan datang dari Surabaya. Diketahui lebih dari 200 anak mulai jenjang PAUD hingga SMP mengalami keracunan usai mengonsumsi makanan program Makan Bergizi Gratis (MBG) https://t.co/b4BfVkzl7J",,2026-05-11T13:11:08.000Z,neVerAl0nely___,in
"Sebanyak 200 siswa dari 12 sekolah tingkat TK, SD, dan SMP di kawasan Tembok Dukuh, Kota Surabaya, mengalami gejala keracunan yang diduga akibat mengonsumsi Makan Bergizi Gratis (MBG), Senin (11/5/2026) siang.

Program gak guna! https://t.co/mwdTc1flEB",,2026-05-11T08:40:30.000Z,ukhty_onya,in
"Presiden Republik Indonesia Prabowo Subianto menegaskan komitmen pemerintah untuk meningkatkan kualitas hidup masyarakat melalui penyediaan bahan pokok murah, pemerataan akses pendidikan digital di seluruh desa, serta penguatan program Makan Bergizi Gratis (MBG).

Penegasan https://t.co/YTQgFw4VK8",,2026-05-16T09:53:52.000Z,Metro_TV,in
"Program Makan Bergizi Gratis jadi langkah nyata buat penuhi gizi anak bangsa sekaligus buka banyak lowongan kerja baru di berbagai daerah demi Indonesia sejahtera 
#LanjutkanMBG https://t.co/Ww0TPbZL6p",,2026-05-16T01:56:36.000Z,TimurParadise,in
"Dan ini yang pasti ditanyakan orang, berapa yang sudah dikeluarkan pemerintah untuk MBG (Makan Bergizi Gratis)? 🤔

Jawabannya adalah 54,4 Triliun atau 8,9% dari pengeluaran total pemerintah sampai Maret 2026 

FYI: Budget itu lebih gede dari Belanja Modal + Bansos 🤣 https://t.co/5pzWnRgigb",,2026-05-09T14:36:33.000Z,ArvinHonami,in
Esthon Foenay turun tangan! Program Makan Bergizi Gratis (MBG) dipastikan optimal di seluruh wilayah perbatasan NTT. Gak ada lagi cerita anak-anak di pelosok kekurangan nutrisi. https://t.co/4Sucsy6Fxg,,2026-05-12T13:42:39.000Z,Arziky28067,in
"Sepiring Makan Bergizi Gratis hadirkan senyum, hilangkan lapar, tumbuhkan semangat. Sekolah jadi tempat harapan, bukan sekadar belajar. #MakanBergiziGratis #AnakSehatCerdas #HarapanBangsa https://t.co/J6Xf5Sf3BL",,2026-05-16T00:33:12.000Z,FitryFitriya20,in
"Akademisi Soroti MBG harus Berkualitas dan Berkelanjutan

Program Makan Program Makan Bergizi Gratis (MBG) kembali jadi sorotan.

#reels 
#trending https://t.co/n2X1u2K1qw",,2026-05-12T11:06:37.000Z,ABBITV_id,in
